EmployeeID,Name,Age,Gender,Department,Job Title,Date of Joining,Salary,Location,YearOfJoining
0001,Allison Hill,23,F,Operations,Operations Executive,2018-09-13,62098,Lake Joyside,2018
0002,Javier Johnson,28,M,Finance,Accountant,2018-08-27,107397,New Jamesside,2018
0003,Jerry Ramirez,23,M,Marketing,Marketing Analyst,2025-02-28,58657,Lake Roberto,2025
0004,Daniel Gallagher,60,M,Finance,Finance Manager,2017-06-28,103563,Davisstad,2017
0005,Renee Blair,56,F,Finance,Finance Manager,2021-10-30,58893,Millerport,2021
0006,Lisa Hensley,39,M,Marketing,Content Strategist,2022-03-30,50926,North Donnaport,2022
0007,Dr. Sharon James,43,F,Operations,Operations Lead,2021-01-01,50379,Franciscostad,2021
0008,Derek Zuniga,28,M,Finance,Finance Analyst,2022-12-13,79797,New Jessica,2022
0009,James Mayo,44,F,HR,Recruiter,2022-11-13,35695,Lake Mark,2022
0010,Amy Underwood,56,M,Operations,Operations Lead,2024-07-08,79615,Adamsborough,2024
0011,Latoya Robbins,40,F,HR,HR Manager,2018-08-05,105674,Fostermouth,2018
0012,Charles Mcgee,26,M,Finance,Finance Manager,2021-11-09,116673,Hurstfurt,2021
0013,Zachary Taylor,27,M,Finance,Finance Analyst,2021-05-27,43238,Port Danielburgh,2021
0014,Jennifer Brown,51,F,Marketing,Marketing Manager,2020-04-14,51319,Riceside,2020
0015,Alexandra Le,35,F,IT,QA Engineer,2023-04-15,119593,Kaylamouth,2023
0016,Jeffrey Chavez,60,M,Operations,Operations Executive,2026-01-03,100010,Teresaburgh,2026
0017,Ashley Garrett,32,F,Operations,Operations Executive,2024-11-19,79735,East Nathaniel,2024
0018,Troy Nielsen,57,M,IT,System Administrator,2025-08-27,119733,Tracyville,2025
0019,Sherry Decker,36,M,IT,Software Engineer,2019-07-18,71347,East Natalieland,2019
0020,John Jones,26,M,Marketing,Marketing Manager,2024-01-28,104341,East Donna,2024
0021,Carmen Rose,35,F,Operations,Operations Lead,2022-07-14,81856,New Karina,2022
0022,Michelle Ross,31,F,Operations,Operations Lead,2023-03-09,48301,Samuelhaven,2023
0023,David Brown,57,F,Finance,Finance Manager,2016-09-04,106622,New Jeffrey,2016
0024,Mark Perez,47,F,Marketing,Content Strategist,2025-07-10,58746,Chadbury,2025
0025,John Ryan,53,M,Finance,Finance Manager,2023-09-14,36175,Sanchezfort,2023
0026,Cheryl Davis,32,F,HR,HR Executive,2020-10-11,108172,Jenkinston,2020
0027,Victoria Garcia,46,F,HR,Recruiter,2020-06-29,99352,Laurenville,2020
0028,Connor West,22,M,IT,System Administrator,2020-09-08,119353,Stevenland,2020
0029,Scott Pierce,43,M,Sales,Sales Manager,2016-12-21,68469,North Sarabury,2016
0030,John Lewis,51,M,Marketing,Marketing Analyst,2020-06-24,64522,East Nicholasfurt,2020
0031,Richard Gibson,54,M,Sales,Sales Executive,2020-09-12,111959,Mooreport,2020
0032,Anthony Fitzgerald,54,M,IT,System Administrator,2017-01-28,50032,Brianshire,2017
0033,Thomas Schmidt,56,M,IT,Software Engineer,2017-01-13,108504,Port Jacobland,2017
0034,Cynthia Wilson,23,M,IT,QA Engineer,2025-05-16,77576,New Brooke,2025
0035,Jennifer Silva,25,M,IT,Software Engineer,2021-09-11,104364,Jamesmouth,2021
0036,James Powers,53,M,HR,HR Executive,2019-06-20,99822,Sarahland,2019
0037,Marc Hart,52,M,Finance,Accountant,2017-06-20,64741,New Joseph,2017
0038,Shirley Suarez,49,M,Sales,Business Development,2020-02-29,100686,South Martha,2020
0039,Lisa Archer,34,F,Operations,Logistics Manager,2023-01-03,82296,Lake Lisaport,2023
0040,Ashley Humphrey,45,F,Operations,Logistics Manager,2019-02-11,97839,Lake Angelaview,2019
0041,Daniel Cooper,37,M,Marketing,Marketing Analyst,2023-05-06,38392,Williamview,2023
0042,Sarah Davis,59,M,IT,Software Engineer,2020-09-14,107128,Bradleymouth,2020
0043,Mandy Green,26,M,Finance,Accountant,2023-11-18,60007,Hoffmanville,2023
0044,Stephen Mckee,43,M,HR,HR Executive,2021-12-04,97391,Brandiberg,2021
0045,Andrew Diaz,53,M,Finance,Finance Analyst,2025-10-19,100678,West Jasonbury,2025
0046,Heather Castro,58,F,Finance,Finance Manager,2025-03-20,61850,East Michelle,2025
0047,Rita Keith,34,M,Marketing,Marketing Manager,2016-09-18,42704,Kimberlychester,2016
0048,Sharon Cochran,44,F,Operations,Operations Lead,2019-02-19,83883,South Monicafort,2019
0049,Robert Stevens,25,M,Marketing,Content Strategist,2019-07-09,37944,East Andrew,2019
0050,Garrett Lin,43,M,Marketing,Content Strategist,2026-02-20,62591,Michaelhaven,2026
0051,William Herrera,56,F,Finance,Accountant,2025-11-11,48373,West Gregoryview,2025
0052,Kyle Reed,39,F,Marketing,Marketing Analyst,2024-05-01,62742,Obrienhaven,2024
0053,Steven Lee,57,M,HR,Recruiter,2016-11-29,36630,Smithside,2016
0054,Teresa Mclaughlin,22,M,Operations,Logistics Manager,2018-06-09,60982,Jonesmouth,2018
0055,Mary Martinez,53,F,Finance,Finance Analyst,2025-06-20,58016,Elizabethmouth,2025
0056,Edward Martinez,32,F,Marketing,Marketing Analyst,2020-09-02,30282,Byrdburgh,2020
0057,Elizabeth Kelley,51,F,Marketing,Marketing Manager,2016-06-21,85444,Jasonshire,2016
0058,Erica Ramos,57,F,Operations,Logistics Manager,2023-03-24,50289,Leonburgh,2023
0059,Diane Beck,35,M,Finance,Finance Analyst,2022-08-30,105914,Port Stephaniebury,2022
0060,Courtney Gonzalez,25,F,Operations,Logistics Manager,2016-09-17,37492,South Cheryl,2016
0061,Joy Mercado,52,M,HR,HR Manager,2022-03-23,37455,Snyderbury,2022
0062,Michael Stafford,33,M,Sales,Sales Executive,2025-01-27,107992,Port Ronaldburgh,2025
0063,Melissa Marshall,37,F,HR,HR Manager,2022-01-16,45713,South Dennismouth,2022
0064,Victoria Larson,59,M,Sales,Sales Executive,2025-12-20,111183,Salazarhaven,2025
0065,Terry Griffin,59,F,HR,Recruiter,2018-01-22,64179,Colebury,2018
